start_station_name,end_station_name,trip_count,start_lat,start_lng,e_lat,e_lng
Central Park S & 6 Ave,Central Park S & 6 Ave,68474,40.76590936,-73.97634151,40.76590936,-73.97634151
7 Ave & Central Park South,7 Ave & Central Park South,56241,40.7667405590595,-73.9790689945221,40.7667405590595,-73.9790689945221
Roosevelt Island Tramway,Roosevelt Island Tramway,42294,40.757284,-73.9536,40.757284,-73.9536
West Drive & Prospect Park West,West Drive & Prospect Park West,33836,40.6610633719006,-73.97945255041122,40.6610633719006,-73.97945255041122
W 21 St & 6 Ave,9 Ave & W 22 St,33298,40.74173969,-73.99415556,40.7454973,-74.00197139
5 Ave & E 72 St,5 Ave & E 72 St,32781,40.77282817,-73.96685276,40.77282817,-73.96685276
Soissons Landing,Soissons Landing,32192,40.69231660719192,-74.01486575603485,40.692317,-74.014866
12 Ave & W 40 St,12 Ave & W 40 St,28655,40.76087502,-74.00277668,40.76087502,-74.00277668
1 Ave & E 62 St,1 Ave & E 68 St,28423,40.7612274,-73.96094022,40.76500525,-73.95818491
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,26588,40.7643971,-73.97371465,40.7643971,-73.97371465
Central Park West & W 72 St,Central Park West & W 72 St,25817,40.77579376683666,-73.9762057363987,40.77579376683666,-73.9762057363987
West St & Chambers St,Pier 40 - Hudson River Park,25763,40.717683315,-74.013174415,40.7277140777778,-74.01129573583603
Norfolk St & Broome St,Henry St & Grand St,25199,40.7172274,-73.98802084,40.714211,-73.981095
Roosevelt Island Tramway,Motorgate,24933,40.757284,-73.9536,40.7639089,-73.9477213
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,24808,40.799484,-73.955613,40.799484,-73.955613
Pier 40 - Hudson River Park,West St & Chambers St,24516,40.7277140777778,-74.01129573583603,40.71754834,-74.01322069
Broadway & W 58 St,Broadway & W 58 St,23906,40.767172337,-73.981830478,40.76695317,-73.98169333
Motorgate,Roosevelt Island Tramway,23891,40.7639089,-73.9477213,40.757284,-73.9536
West St & Chambers St,West St & Chambers St,23871,40.717683315,-74.013174415,40.71754834,-74.01322069
Central Park West & W 68 St,Central Park West & W 68 St,23775,40.7734066,-73.97782542,40.7734066,-73.97782542
Yankee Ferry Terminal,Yankee Ferry Terminal,23633,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666
W 21 St & 6 Ave,W 22 St & 10 Ave,22904,40.74173969,-73.99415556,40.74691959,-74.00451887
Henry St & Grand St,Norfolk St & Broome St,22819,40.714211,-73.981095,40.7172274,-73.98802084
Clinton St & Grand St,Henry St & Grand St,22090,40.71559509,-73.9870295,40.714211,-73.981095
Centre St & Chambers St,Centre St & Chambers St,22056,40.71273266,-74.0046073,40.71273266,-74.0046073
12 Ave & W 40 St,West St & Chambers St,21258,40.76087502,-74.00277668,40.71754834,-74.01322069
E 32 St & Park Ave,E 33 St & 1 Ave,20404,40.7457121,-73.98194829,40.74322681432173,-73.97449783980846
5 Ave & E 87 St,5 Ave & E 87 St,20376,40.78232260730881,-73.95987510681152,40.78232260730881,-73.95987510681152
W 22 St & 10 Ave,W 22 St & 8 Ave,20298,40.74691959,-74.00451887,40.74475148,-73.99915362
Little West St & 1 Pl,West St & Liberty St,19970,40.705701232,-74.016636729,40.711444,-74.014847
Central Park S & 6 Ave,7 Ave & Central Park South,19863,40.76590936,-73.97634151,40.7667405590595,-73.9790689945221
North Moore St & Greenwich St,Vesey St & Church St,19831,40.72019521437465,-74.0103006362915,40.71221958009051,-74.01047229766846
N 6 St & Bedford Ave,S 4 St & Wythe Ave,19724,40.71745169,-73.95850939,40.71285887,-73.96590294
E 72 St & York Ave,2 Ave & E 72 St,19404,40.76663814,-73.95348296,40.7687620293096,-73.95840793848038
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,18823,40.698458,-73.997178,40.698458,-73.997178
W 42 St & 8 Ave,11 Ave & W 41 St,18715,40.7575699,-73.99098507,40.76030096,-73.99884222
11 Ave & W 41 St,W 42 St & 8 Ave,18318,40.76030096,-73.99884222,40.7575699,-73.99098507
Yankee Ferry Terminal,Soissons Landing,17971,40.68706579875912,-74.01675585121666,40.692317,-74.014866
Canal St & Rutgers St,Henry St & Grand St,17846,40.71427487,-73.98990025,40.714211,-73.981095
Amsterdam Ave & W 73 St,Amsterdam Ave & W 82 St,17746,40.77966809007312,-73.98093044757842,40.78524672,-73.97667321
W 22 St & 10 Ave,W 21 St & 6 Ave,17738,40.74691959,-74.00451887,40.74173969,-73.99415556
S 4 St & Wythe Ave,N 6 St & Bedford Ave,17703,40.71285887,-73.96590294,40.71745169,-73.95850939
Henry St & Grand St,Canal St & Rutgers St,17567,40.714211,-73.981095,40.71427487,-73.98990025
Southpoint Park,Roosevelt Island Tramway,17546,40.75358355,-73.958857775,40.757284,-73.9536
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,17453,40.77966809007312,-73.98093044757842,40.7829391,-73.9786517
5 Ave & E 78 St,5 Ave & E 78 St,17435,40.77632142182271,-73.96427392959595,40.77632142182271,-73.96427392959595
West St & Liberty St,West St & Liberty St,17395,40.711444,-74.014847,40.711444,-74.014847
Soissons Landing,Yankee Ferry Terminal,17291,40.69231660719192,-74.01486575603485,40.68706579875912,-74.01675585121666
Vernon Blvd & 50 Ave,Franklin St & Dupont St,17160,40.74232744,-73.95411749,40.73564,-73.95866
3 St & Prospect Park West,3 St & Prospect Park West,17061,40.668132,-73.97363831,40.668132,-73.97363831
North Moore St & Greenwich St,Vesey Pl & River Terrace,17030,40.72019521437465,-74.0103006362915,40.7153379,-74.01658354
Central Park S & 6 Ave,Central Park North & Adam Clayton Powell Blvd,16963,40.76590936,-73.97634151,40.799484,-73.955613
Roosevelt Island Tramway,Southpoint Park,16706,40.757284,-73.9536,40.75370225419114,-73.95865201950072
W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,16612,40.777408361,-73.982750893,40.777507027547976,-73.98888587951659
West St & Chambers St,12 Ave & W 40 St,16605,40.717683315,-74.013174415,40.76087502,-74.00277668
Central Park S & 6 Ave,5 Ave & E 87 St,16560,40.76590936,-73.97634151,40.78232260730881,-73.95987510681152
9 Ave & W 22 St,W 21 St & 6 Ave,16496,40.7454973,-74.00197139,40.74173969,-73.99415556
