start_station_name,trip_count,start_lat,start_lng
W 21 St & 6 Ave,765071,40.74173969,-73.99415556
West St & Chambers St,670218,40.717683315,-74.013174415
University Pl & E 14 St,587336,40.734814,-73.992085
1 Ave & E 68 St,576697,40.76500525,-73.95818491
Broadway & E 14 St,576291,40.73454567,-73.99074142
Broadway & W 25 St,570984,40.74286877312112,-73.98918628692627
6 Ave & W 33 St,557112,40.748925328,-73.989154577
11 Ave & W 41 St,554999,40.76030096,-73.99884222
E 33 St & 1 Ave,539850,40.74322681432173,-73.97449783980846
12 Ave & W 40 St,535971,40.76087502,-74.00277668
Lafayette St & E 8 St,530841,40.73020660529954,-73.99102628231049
Cleveland Pl & Spring St,528339,40.722103786686034,-73.99724900722504
W 31 St & 7 Ave,527605,40.749156,-73.9916
Broadway & W 58 St,518761,40.767172337,-73.981830478
E 17 St & Broadway,510752,40.73704984,-73.99009296
8 Ave & W 31 St,510013,40.7505853470215,-73.9946848154068
Central Park S & 6 Ave,500100,40.76590936,-73.97634151
West St & Liberty St,497259,40.711444,-74.014847
7 Ave & Central Park South,486119,40.7667405590595,-73.9790689945221
W 41 St & 8 Ave,484752,40.75640548,-73.9900262
W 30 St & 10 Ave,466517,40.752694,-74.002353
9 Ave & W 22 St,454945,40.7454973,-74.00197139
Grand St & Elizabeth St,451378,40.718822,-73.99596
W 22 St & 10 Ave,450788,40.74691959,-74.00451887
6 Ave & W 34 St,450762,40.74964,-73.98805
Christopher St & Greenwich St,449357,40.73291553,-74.00711384
Carmine St & 6 Ave,447807,40.73038599,-74.00214988
Greenwich Ave & 8 Ave,446906,40.7390169121,-74.0026376103
Clinton St & Grand St,446309,40.71559509,-73.9870295
W 43 St & 10 Ave,439818,40.76009437,-73.99461843
Columbus Ave & W 72 St,438103,40.7770575,-73.97898475
W 24 St & 7 Ave,433851,40.74487634,-73.99529885
Norfolk St & Broome St,429902,40.7172274,-73.98802084
Pier 40 - Hudson River Park,425260,40.7277140777778,-74.01129573583603
Canal St & Rutgers St,424425,40.71427487,-73.98990025
Amsterdam Ave & W 73 St,417121,40.77966809007312,-73.98093044757842
Broadway & E 21 St,415485,40.73988840858996,-73.98958593606949
W 4 St & 7 Ave S,411656,40.73401143,-74.00293877
8 Ave & W 38 St,411450,40.754511237,-73.992101073
W 15 St & 6 Ave,398874,40.738046142482766,-73.99642959237099
Lafayette St & Jersey St,398678,40.72456089,-73.99565293
